job_number,prop_stories,occ_init,dcp_occ_pr,dcp_occ_category,units_init,units_prop,units_prop_res,units_prop_hotel,u_net_comp,u_net_inc,unit_change_preapr2010,unit_change_postapr2010,unit_change_2011,unit_change_2012,unit_change_2013,unit_change_2014,unit_change_2015,unit_change_2016,unit_change_2017,unit_change_2018,x_mixeduse,bbl,bin,latitude,longitude,x_inactive,hny_id,reason,extra
421543048,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543057,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543066,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543075,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543084,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543093,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421543100,,,,,,,,,,,,,,,,,,,,,,4058720102,,,,,,change BBL,
421594153,,,,,,,,,,,,,,,,,,,,,,4061530028,,,,,,change BBL,
421624380,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421626654,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421626663,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421626672,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421633432,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421635109,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421635449,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421636732,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421641094,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
421641101,,,,,,,,,,,,,,,,,,,,,,4044870170,,,,,,change BBL,
500556187,,,,,,,,,,,,,,,,,,,,,,5061460035,,,,,,change BBL,
510065322,,,,,,,,,,,,,,,,,,,,,,5069790112,,,,,,change BBL,
510065340,,,,,,,,,,,,,,,,,,,,,,5069790114,,,,,,change BBL,
510065368,,,,,,,,,,,,,,,,,,,,,,5069790120,,,,,,change BBL,
510065395,,,,,,,,,,,,,,,,,,,,,,5069790122,,,,,,change BBL,
510065402,,,,,,,,,,,,,,,,,,,,,,5069790116,,,,,,change BBL,
510065411,,,,,,,,,,,,,,,,,,,,,,5069790118,,,,,,change BBL,
510067641,,,,,,,,,,,,,,,,,,,,,,5069790106,,,,,,change BBL,
510067650,,,,,,,,,,,,,,,,,,,,,,5069790108,,,,,,change BBL,
510067767,,,,,,,,,,,,,,,,,,,,,,5069790110,,,,,,change BBL,
520008731,,,,,,,,,,,,,,,,,,,,,,5070940072,,,,,,change BBL,
520008740,,,,,,,,,,,,,,,,,,,,,,5070940071,,,,,,change BBL,
520008759,,,,,,,,,,,,,,,,,,,,,,5070940070,,,,,,change BBL,
520008777,,,,,,,,,,,,,,,,,,,,,,5070940069,,,,,,change BBL,
520008795,,,,,,,,,,,,,,,,,,,,,,5070940068,,,,,,change BBL,
